pool_id,protocol_id,project,chain,business_type,deposit_contract,withdraw_contract,lp_token,stake_token,stake_underlying_token,reward_token,name,description
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,3,Curve,Ethereum,dex,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,0x6b175474e89094c44da98b954eedeac495271d0f-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xdac17f958d2ee523a2206206994597c13d831ec7-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xdac17f958d2ee523a2206206994597c13d831ec7-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,DAI/USDC/USDT,3pool
0xdebf20617708857ebe4f679508e7b7863a8a8eee,3,Curve,Ethereum,dex,0xdebf20617708857ebe4f679508e7b7863a8a8eee,0xdebf20617708857ebe4f679508e7b7863a8a8eee,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,0x028171bca77440897b824ca71d1c56cac55b68a3-0xbcca60bb61934080951369a648fb03df4f96263c-0x3ed3b47dd13ec9a98b44e6204a523e766b225811-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xdac17f958d2ee523a2206206994597c13d831ec7-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,aDAI/aUSDC/aUSDT,aave
0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,3,Curve,Ethereum,dex,0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,0xaa17a236f2badc98ddc0cf999abb47d47fc0a6cf,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-0xe95a203b1a91a908f9b9ce46459d101078c2c3cb-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,ETH/aETHc,aeth
0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,3,Curve,Ethereum,dex,0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,0x3b3ac5386837dc563660fb6a0937dfaa5924333b,0xc2cb1040220768554cf699b0d863a3cd4324ce32-0x26ea744e5b887e5205727f55dfbe8685e3b21951-0xe6354ed5bc4b393a5aad09f21c46e101e692d447-0x04bc0ab673d88ae9dbc9da2380cb6b79c4bca9ae-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xdac17f958d2ee523a2206206994597c13d831ec7-0x4fabb145d64652a948d72533023f6e7a623c7c53-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,yDAI/yUSDC/yUSDT/yBUSD,busd
0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,3,Curve,Ethereum,dex,0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,0x845838df265dcd2c412a1dc9e959c7d08537f8a2,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643-0x39aa39c021dfbae8fac545936693ac917d5e7563-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,cDAI/cUSDC,compound
0x0ce6a5ff5217e38315f87032cf90686c96627caa,3,Curve,Ethereum,dex,0x0ce6a5ff5217e38315f87032cf90686c96627caa,0x0ce6a5ff5217e38315f87032cf90686c96627caa,0x194ebd173f6cdace046c53eacce9b953f28411d1,0xdb25f211ab05b1c97d595516f45794528a807ad8-0xd71ecff9342a5ced620049e616c5035f1db98620-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0xdb25f211ab05b1c97d595516f45794528a807ad8-0xd71ecff9342a5ced620049e616c5035f1db98620-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,EURS/sEUR,eurs
0x4ca9b3063ec5866a4b82e437059d2c43d1be596f,3,Curve,Ethereum,dex,0x4ca9b3063ec5866a4b82e437059d2c43d1be596f,0x4ca9b3063ec5866a4b82e437059d2c43d1be596f,0xb19059ebb43466c323583928285a49f558e572fd,0x0316eb71485b0ab14103307bf65a021042c6d380-0x2260fac5e5542a773aa44fbcfedf7c193bc2c599-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x0316eb71485b0ab14103307bf65a021042c6d380-0x2260fac5e5542a773aa44fbcfedf7c193bc2c599-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,HBTC/WBTC,hbtc
0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf,3,Curve,Ethereum,dex,0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf,0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf,0x5282a4ef67d9c33135340fb3289cc1711c13638c,0x8e595470ed749b85c6f7669de83eae304c2ec68f-0x76eb2fe28b36b3ee97f3adae0c69606eedb2a37c-0x48759f220ed983db51fa7a8c0d2aab8f3ce4166a-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xdac17f958d2ee523a2206206994597c13d831ec7-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,cyDAI/cyUSDC/cyUSDT,ib
0xf178c0b5bb7e7abf4e12a4838c7b7c5ba2c623c0,3,Curve,Ethereum,dex,0xf178c0b5bb7e7abf4e12a4838c7b7c5ba2c623c0,0xf178c0b5bb7e7abf4e12a4838c7b7c5ba2c623c0,0xcee60cfa923170e4f8204ae08b4fa6a3f5656f3a,0x514910771af9ca656af840dff83e8264ecf986ca-0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x514910771af9ca656af840dff83e8264ecf986ca-0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,LINK/sLINK,link
0x06364f10b501e868329afbc005b3492902d6c763,3,Curve,Ethereum,dex,0x06364f10b501e868329afbc005b3492902d6c763,0x06364f10b501e868329afbc005b3492902d6c763,0xd905e2eaebe188fc92179b6350807d8bd91db0d8,0x99d1fa417f94dcd62bfe781a1213c092a47041bc-0x9777d7e2b60bb01759d0e2f8be2095df444cb07e-0x1be5d71f2da660bfdee8012ddc58d024448a0a59-0x8e870d67f660d95d5be530380d0ec0bd388289e1-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xdac17f958d2ee523a2206206994597c13d831ec7-0x8e870d67f660d95d5be530380d0ec0bd388289e1-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000-0x0000000000000000000000000000000000000000,,ycDAI/ycUSDC/ycUSDT/USDP,pax
