contract_address,decimals,symbol
bnb,18,BNB
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,18,BCOIN
0x0047a0deadafb7ee6b1a0d219e70fb6767057d93,18,xYSL
0x01f801c95afb3444fd9ef6b64866e0b2cdbefe52,18,RIRA
0x016cf83732f1468150d87dcc5bdf67730b3934d3,18,AIRT
0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,18,bwJUP
0x02a40c048ee2607b5f5606e445cfc3633fb20b58,18,KABY
0x037dd2eefc39664fcd33cf93ed840d34b50b05d0,18,TESLA
0x03c580eecf2c36ab8a77a71d56d867ecd495552d,18,NUKE
0x03fffb18c0ea6b0ad4fa3b5226512b334587686f,18,TUSK
0x0523215dcafbf4e4aa92117d13c6985a3bef27d7,9,GMR
0x043b49749e0016e965600d502e2177ca2d95b3d9,9,RACA
0x064c8e55aa484adbd58ca2d43343ef50137473b7,18,bMBX
0x070a08beef8d36734dd67a491202ff35a6a16d97,18,SLP
0x086cc8e468b3cb5494f18a7abc2de1321306af12,18,EVOC
0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5,18,RFOX
0x09c91b0324433372534b76040e38a0dba1a9ee52,4,X9C
0x09607078980cbb0665aba9c6d1b84b8ead246aa0,18,PETG
0x07af67b392b7a202fad8e0fbc64c34f33102165b,9,AQUAGOAT
0x0b33542240d6fa323c796749f6d6869fdb7f13ca,18,ETHM
0x0df1b3f30865c5b324797f8db9d339514cac4e94,18,BETU
0x0ccd575bf9378c06f6dca82f8122f570769f00c2,18,KING
0x0d499b25bce7aa72bb6c50e434e2ed26fe1e785d,18,BRT
0x0922f1d808adc3a4444bed2f73fac53a1a2a5859,18,TIK
0x0e5f989ce525acc4ee45506af91964f7f4c9f2e9,9,RYOSHI
0x107d25452389ca8ff3a9bffe3f4303eded08ed6a,9,PINU
0x0feadcc3824e7f3c12f40e324a60c23ca51627fc,18,Warden
0x10cd0b2d782c07215c9ccce3ed2a21b5a45637ae,18,  AslanKonge
0x0f5351b9eaefd6687dff143de6ea5d01cb9c1205,18,Flokim
0x0c16eb01908aa99c78a62f9e1732c1927c2dfb25,18,KINTA
0x12da2f2761038486271c99da7e0fb4413e2b5e38,9,NBM
0x1228fb5ef4c98cabd696ba1bd4819e050389d21a,6,CARS
0x1323a22f151c308b0a2497d864b65cb19fdf9e68,9,ES
0x11d1ac5ec23e3a193e8a491a198f5fc9ee715839,18,MPAD
0x0eb3a705fc54725037cc9e008bdede697f62f335,18,ATOM
0x1523a11eb0d020ada6e1bcd093cbd1ef2829301b,18,NFTLOGY
0x147d7d47c9340253dc5adf0574e7bc4b05630aed,18,FF
0x16c0e0936e1b38ff1f9b8a1e75d8ba29adf87d30,18,KNIGHT
0x142ba459218cafdcf8f98a5fa3e139f32fccec70,18,CRYPT
0x112fbe7f60329e9e2d232008e56f94d1582ae3bc,9,BabyFB
0x16dcc0ec78e91e868dca64be86aec62bf7c61037,9,EverETH
0x1700c5fb83aec318ccd2f855c2e44284758ce08d,8,HBET
0x1a8d7ac01d21991bf5249a3657c97b2b6d919222,18,BEE
0x180caf92a1989efc5af3efe154db0dd73199930f,18,DDN
0x1b1517e9877fe1c5e2615438167295ff94d6697f,9,KingKong
0x13c80c2390c56f7e4599840e0d5830f40a8289f8,9,1DOGE
0x18b426813731c144108c6d7faf5ede71a258fd9a,9,OLYMPUS
0x1b9a8c4f2df5dc7b8744b1a170d8d727360c67ee,9,MOMENTO
0x18f438a9c4358bcb974c097385258e45269e2ff6,9,GLF
0x176f3763aca63d94b5883b3e1a6edaf781cd2de6,9,PLC
0x1ecec64957a7f83f90e77bd1b1816ab40df4f615,18,SCV
0x1deb45c74e0192d9272adf54e9a7519c48c2bd81,18,AUR
0x1d1eb8e8293222e1a29d2c0e4ce6c0acfd89aaac,18,HAKKA
0x1f64fdad335ed784898effb5ce22d54d8f432523,18,10SET
0x1b219aca875f8c74c33cff9ff98f3a9b62fcbff5,18,FINS
0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6,18,CHESS
0x205cd59eea8e8c5083f16d20e1050fd4a7d72037,18,ZFAI
0x211ffbe424b90e25a15531ca322adf1559779e45,18,BUX
0x1fd991fb6c3102873ba68a4e6e6a87b3a5c10271,18,ATL
0x1c8d407ad2b4b755482743c542b680bd4385476c,8,ROCKSTAR
0x24356e6354ae590a486f64cbde24c00608c532db,18,1MAGIC
0x2322afaac81697e770c19a58df587d8739777536,18,FAST
0x2326c7395d02a8c89a9d7a0b0c1cf159d49ce51c,8,TBAC
0x25a528af62e56512a19ce8c3cab427807c28cc19,18,FORM
0x1f9f6a696c6fd109cd3956f45dc709d2b3902163,18,CELR
0x298499f46fbbd468ca1ec7de1e29adfde2e5b373,9,TDG
0x287db351d5230716246cfb46af8153025eda6a0a,18,MNSTRS
0x24b66a58d505ff7651c31358b3a2d697644a8de7,18,FIRE
0x2bfc8fbecbe66e0d27e11ed9e2f66acdcd058d17,18,TROLLER
0x2198b69b36b86f250549d26d69c5957912a34ec2,18,MATE
0x286a93b7811e674d27bc05ed546bb85a7e6043eb,18,CAMPFIRE
0x2bc7d9d316ef32ab5eb7864caf5fd7ff30ec171b,18,S.leone
0x2bfd26116c6321be08ef5374b4e42814c14a042d,9,MARVIN
