contract_address,decimals,symbol
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0,CHI
0x000000000000cb2d80a37898be43579c7b616844,0,REDUX
0x0000000059678e962fd104ed8b378b328d40494a,18,Draco
0x000636394e1184ef9e2642f7a22aeaa0435f29ea,18,AAA
0x0009806b88c76c08a0957506aec31d33435aeb25,9,BOG
0x0017c286ec037bae09d8b1d570d4f1626772d1bc,18,SLP
0x0017f887d30c845c3bd7047678501817e65d7f4e,18,SLOTH
0x001479933c26feb43a410b3c935df2a0b49c48bc,18,AMIIBO
0x0019a8a3558a102b0e63f01505ed8f093ed071a9,18,VOLTA
0x001e8c9b4ec5c7d911d973397e3b26945d512b9e,18,vaccine
0x003410a1669da436a5c60d746c6c08df53177c4d,18,CASHBAK
0x003004c9e03c746d9fea4d9afef7fc9c4a436f3a,9,Ranju
0x003c8e487d7a6750372e2e2f17a163c49acda9b3,9,POLYLPig
0x0040f93b4af39605c3be36ec100a2e2ed66db968,18,HDT
0x0051661d2b1c4e4256d8c8b5a1b8217a9f845acd,18,LAMBO
0x0049983d121ab0a1b5efb2b93fccce7936b55a85,18,🐐IGOAT
0x005dd66b88bc888ba890aea7d0c85ab5d1a33aab,18,DIRTY
0x005320e74f7e22b23c749617275def5b40657247,18,TST
0x00591e8ba0772a1efb420beb2e4e2052cc1b7304,6,pEUR
0x00662244cbe1154fcf27d645b5adb323def24a3b,18,GPunk
0x0074b9a846b5a3a2767afe7e4d9a4e56191a5393,0,coal
0x00863143067b3744b0edb7ab1a7c029863356f84,9,TestSafer6
0x00ad2479d33db3f94d4eb33d037142813be5ad83,18,TEST
0x00a7623e1172f9c755ef92efcde90424f3465a80,18,PONZI
0x00c39b2930fe947ac8e7cd4a514ae9738b989196,18,BALL
0x00b2b94a6db3db7a39acd2d5188ca6619c3a4b93,18,SOFIA
0x00d03433e46c98c1fe7ec18a157d4dae0d57d836,18,x
0x00c7983644b8cbfbcdace802ac17945028b1b6c9,18,BT
0x00ccbd98aebd8416196ff10dfef1b37f2239cc22,9,FETA
0x00d06725663411e6d4599f0b630ab003d4290eba,6,USDC
0x00d12c0288bff7af3d8bfcc75cd1fb990ab66ea7,18,dm
0x00d5149cdf7cec8725bf50073c51c4fa58ecca12,18,POWER
0x00e5646f60ac6fb446f621d146b6e1886f002905,18,RAI
0x00d54f981829f6dec0bdb18c2ec5df9975a6c2f1,18,fgdfgd
0x00ea832e7bacc5c5ba6093b5c6daf6d4020f0851,1,Math
0x00eedc6fdb0451d6e4d6d05821449b7db0e58b21,18,JAM
0x00ffa8ae1a4ef07979e32070445fe577d282f384,18,POLYMUSK
0x01079bdd1d42944c96edb69b2514561433860f0a,18,DG
0x0102bbfddffbd8d28d3a1b9c47017f62f42768f2,18,50C
0x010d2f4eabe672a1785d62a893fc48cf08a2da75,18,MaticMoon
0x0111560ee38788ad7dee322473652d81569e8062,18,SUN
0x011e756aa6f57e20ba9463ce962ec2dbb26f659b,18,PFEG
0x011f73db59dcd7dd10b305460c7c3e85acfce403,9,Saf3moon
0x0124115c119e8537c8cf400b368e42119e98b04a,2,HRZ
0x0129258aecd42b8a750fb13578a6e66b30b41a14,18,CORN
0x012e508c709b483417138d868d6faf5d1e3cf1d4,18,Noche
0x01363381530f7bf6ede3b1b8a0110e06286670a6,18,SMT
0x012e89b2eba5d449ba6e5e3057f7112ec9c3fd86,18,PBAKE
0x013564d16d8907391266a2ec1940ac9c23cd4fde,18,POLYSTAKE
0x0137c8c4629bc897e7d8cf5fdcaf5f2f1e3b1e09,18,DOGESTINKY
0x0138d4a5857da1330e964f3f367f8a70c5e104fb,18,KIWI
0x01540f5c004dfbe36fef0b4b4c87d15b1cb00a1d,18,BEYE
0x013f9c3fac3e2759d7e90aca4f9540f75194a0d7,18,USDN
0x013a43b7fd9838e8f94e494b7adee62c9baa6a05,18,USDCELONGATE
0x01578c5c8d2bf218919b81696610f9be3d5e82c5,18,token
0x0170df46a380818a6504b19d8bbce8b7137529bf,18,MINIdogKing
0x0184316f58b9a44acdd3e683257259dc0cf2202a,18,POLYGOLD
0x017ce65a6ac1726a69bec4afe0766e51c8d6465e,18,ROLL
0x017a52d31550d1620071d2eab0bd89cdb6a7a1fb,9,FREDBINANCE
0x018598c49d0330ff9a633c320ad4d5e3b3fdaf49,18,SCXF
0x018ce7016ec2a25543137fad22fe35845c916b6c,18,GONE
0x01a811638d1979cfd3bd14f9c103d2d83872aed1,18,UX
0x019ba0325f1988213d448b3472fa1cf8d07618d7,18,UNI-V2
0x01969fe4366eabf8d8b07fac78fe5f45a7f4ce33,18,LANTERN
0x01b2ba3a0efa5936249b7258006b1c0abb8bce87,9,FER
0x01bcec6175fa9366d14b8275e95d0fa45702f696,18,GORILLA
0x01cd0617f9e8532c983e73f912f42439d392d93c,18,polygoo
0x01c1673d4a7a77d71a890f7bb452200cf9a28027,18,BBT
0x01c80e661abf4c3af870c7233370cf7d598cb9e0,9,PolyDADDYFLOKI
0x01cd168c9d9b8a77eaea6c6809e4f80dfabf18d5,9,LSD01
0x01d723755c42cbbd2494258a38ff42e05605cc2c,9,PELON
0x01e0d17a533e5930a349c2bb71304f04f20ab12b,18,RPG
0x01db966cc76ece2824bb9d49f989c3375d9384aa,9,GTS
0x01dfb477281b92ad01d51d277855d6e7602dc78b,18,don't buy
0x01e4bb1be5abef8f7a94ad7b7cdcc1e6b91fff26,3,CHOCOP
0x01f4c374d5033d03ef0c6afd62e19c98c56abf95,18,DEATH☠️
0x01fff9ea258e87b3dfe674a8bf3d15c373db496f,9,gouKing
0x01f6408208c89eb5a412d1b5b8eff8b2fe94e008,18,PLYMNT
0x01fa5b3a5d77bcf705dd505bbcbb34bce310e7fe,18,AXI
0x020662991b0d926107778154325d2d0b0b5c2a85,0,Pi
0x02068f756ef3bb5c10acf2ad161232f989fa2702,18,TT
0x021501bc836f63e610136969601a4e008b0b6064,18,DOGGOD
0x02117f9d43c0eb5771a6b5c15fb5c8ad25b2582e,18,KUKUA
0x021270b7dfa8138e11e2c2b0068d96b0917693cc,18,Test
0x021706c96957c78059956048053aa5e873490382,18,STARTER
0x021b4910bf3747abe6420d463c108aa30e9fa120,18,H32
0x0237998ce95b0e3b98debc0fc9c3147f1366c0ac,18,PDEV
0x02237282b71f1da4ab05d60bc90cff83b41bea3f,18,PANTSU
0x0230a78221e8843b48f72ad6be14ae67b3884266,18,SVP
0x023cd4cbdd0731335464356ea080ba30cad5c161,9,NFTPOLY
0x023ebe18201f11baa183d90df0039aa4d8d1776d,18,tt5
0x0249536fda5c5d379dc70d50236dd9f3a414bb3b,18,TST
0x024472631e9da327c9288f72f115ed97779a285f,8,Fries
0x0249411013a0cc18e848e1db3f8e992ed5fa1196,18,CTK
0x0252eeaec128a9e0931b13d2306b4ee76460efee,9,PolyBake
0x025e64a71aa9f833f649b934d71a4724bb0a5bc0,18,BLZ
0x0265d354712e26c7e70d392eae85ce325471187b,18,SVE
0x025c3ede126cb1bd40ce85cd03271dcce4d98fa2,18,VIXA
0x02650994b5243465205835e94ec0b23374d15fe0,18,GARI
0x0266cf816e214a5bb0b95e97b8ee917376b314e6,18,axM
0x026a643687fe19e7034a259fa371ebc9be4a9d3b,9,Mario
