table_catalog,table_schema,table_name,table_type,is_insertable_into,is_typed,creation_time,table_name_lower
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_OwnershipTransferred,VIEW,NO,NO,2020-05-14 18:49:05.319000+00:00,exchange_v3_0_event_ownershiptransferred
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_Fill,VIEW,NO,NO,2020-05-14 18:48:01.134000+00:00,exchange_v3_0_event_fill
blockchain-etl,ethereum_zeroex,Exchange_v1_0_event_LogError,VIEW,NO,NO,2020-05-14 18:44:46.793000+00:00,exchange_v1_0_event_logerror
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_CancelUpTo,VIEW,NO,NO,2020-05-14 18:46:32.650000+00:00,exchange_v3_0_event_cancelupto
blockchain-etl,ethereum_zeroex,Exchange_v2_1_event_Cancel,VIEW,NO,NO,2020-05-14 18:47:18.983000+00:00,exchange_v2_1_event_cancel
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_ProtocolFeeMultiplier,VIEW,NO,NO,2020-05-14 18:49:16.710000+00:00,exchange_v3_0_event_protocolfeemultiplier
blockchain-etl,ethereum_zeroex,Exchange_v1_0_event_LogCancel,VIEW,NO,NO,2020-05-14 18:44:46.446000+00:00,exchange_v1_0_event_logcancel
blockchain-etl,ethereum_zeroex,Exchange_v2_1_event_AssetProxyRegistered,VIEW,NO,NO,2020-05-14 18:47:18.985000+00:00,exchange_v2_1_event_assetproxyregistered
blockchain-etl,ethereum_zeroex,Exchange_v2_0_event_Fill,VIEW,NO,NO,2020-05-14 18:45:01.378000+00:00,exchange_v2_0_event_fill
blockchain-etl,ethereum_zeroex,Exchange_v2_1_event_CancelUpTo,VIEW,NO,NO,2020-05-14 18:46:31.474000+00:00,exchange_v2_1_event_cancelupto
blockchain-etl,ethereum_zeroex,Exchange_v1_0_event_LogFill,VIEW,NO,NO,2020-05-14 18:44:48.103000+00:00,exchange_v1_0_event_logfill
blockchain-etl,ethereum_zeroex,Exchange_v4_0_event_RfqOrderFilled,VIEW,NO,NO,2021-03-10 08:43:26.278000+00:00,exchange_v4_0_event_rfqorderfilled
blockchain-etl,ethereum_zeroex,Exchange_v4_0_event_LimitOrderFilled,VIEW,NO,NO,2021-03-10 08:43:16.960000+00:00,exchange_v4_0_event_limitorderfilled
blockchain-etl,ethereum_zeroex,Exchange_v2_1_event_Fill,VIEW,NO,NO,2020-05-14 18:46:34.841000+00:00,exchange_v2_1_event_fill
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_AssetProxyRegistered,VIEW,NO,NO,2020-05-14 18:46:31.262000+00:00,exchange_v3_0_event_assetproxyregistered
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_Cancel,VIEW,NO,NO,2020-05-14 18:46:34.051000+00:00,exchange_v3_0_event_cancel
blockchain-etl,ethereum_zeroex,Exchange_v2_0_event_Cancel,VIEW,NO,NO,2020-05-14 18:47:42.239000+00:00,exchange_v2_0_event_cancel
blockchain-etl,ethereum_zeroex,Exchange_v2_1_call_executeTransaction,VIEW,NO,NO,2020-05-14 18:45:05.417000+00:00,exchange_v2_1_call_executetransaction
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_TransactionExecution,VIEW,NO,NO,2020-05-14 18:49:39.535000+00:00,exchange_v3_0_event_transactionexecution
blockchain-etl,ethereum_zeroex,Exchange_v2_0_event_AssetProxyRegistered,VIEW,NO,NO,2020-05-14 18:47:41.357000+00:00,exchange_v2_0_event_assetproxyregistered
blockchain-etl,ethereum_zeroex,Exchange_v3_0_event_ProtocolFeeCollectorAddress,VIEW,NO,NO,2020-05-14 18:46:31.710000+00:00,exchange_v3_0_event_protocolfeecollectoraddress
blockchain-etl,ethereum_zeroex,Exchange_v2_0_event_CancelUpTo,VIEW,NO,NO,2020-05-14 18:44:56.603000+00:00,exchange_v2_0_event_cancelupto
blockchain-etl,ethereum_yearn,YearnGovernance_event_Staked,VIEW,NO,NO,2021-02-07 13:37:10.620000+00:00,yearngovernance_event_staked
blockchain-etl,ethereum_yearn,YearnGovernance_event_Withdrawn,VIEW,NO,NO,2021-02-07 13:36:48.504000+00:00,yearngovernance_event_withdrawn
blockchain-etl,ethereum_yearn,YearnGovernance_event_RewardPaid,VIEW,NO,NO,2021-02-07 13:36:48.371000+00:00,yearngovernance_event_rewardpaid
blockchain-etl,ethereum_yearn,YearnGovernance_event_OwnershipTransferred,VIEW,NO,NO,2021-02-07 13:37:09.874000+00:00,yearngovernance_event_ownershiptransferred
blockchain-etl,ethereum_yearn,YearnGovernance_event_RewardAdded,VIEW,NO,NO,2021-02-07 13:36:47.759000+00:00,yearngovernance_event_rewardadded
blockchain-etl,ethereum_yearn,YearnGovernance_call_voteFor,VIEW,NO,NO,2021-02-07 13:36:48.779000+00:00,yearngovernance_call_votefor
blockchain-etl,ethereum_yearn,YearnGovernance_call_voteAgainst,VIEW,NO,NO,2021-02-07 13:36:53.249000+00:00,yearngovernance_call_voteagainst
blockchain-etl,ethereum_yam,YAMLENDPool_event_OwnershipTransferred,VIEW,NO,NO,2020-08-11 18:22:49.872000+00:00,yamlendpool_event_ownershiptransferred
blockchain-etl,ethereum_yam,YAMLENDPool_event_Withdrawn,VIEW,NO,NO,2020-08-11 18:23:27.573000+00:00,yamlendpool_event_withdrawn
blockchain-etl,ethereum_yam,YAMYFIPool_event_Staked,VIEW,NO,NO,2020-08-11 18:30:26.854000+00:00,yamyfipool_event_staked
blockchain-etl,ethereum_yam,YAMDelegate_v3_event_Approval,VIEW,NO,NO,2020-10-04 13:03:50.657000+00:00,yamdelegate_v3_event_approval
blockchain-etl,ethereum_yam,YAMMKRPool_event_Staked,VIEW,NO,NO,2020-08-11 18:28:38.049000+00:00,yammkrpool_event_staked
blockchain-etl,ethereum_yam,YAMSNXPool_event_RewardPaid,VIEW,NO,NO,2020-08-11 18:28:35.544000+00:00,yamsnxpool_event_rewardpaid
blockchain-etl,ethereum_yam,YAMDelegator_event_Approval,VIEW,NO,NO,2020-08-11 18:05:16.487000+00:00,yamdelegator_event_approval
blockchain-etl,ethereum_yam,YAMDelegator_event_NewIncentivizer,VIEW,NO,NO,2020-08-11 18:23:11.614000+00:00,yamdelegator_event_newincentivizer
blockchain-etl,ethereum_yam,YAMAMPLPool_event_OwnershipTransferred,VIEW,NO,NO,2020-08-11 18:21:25.905000+00:00,yamamplpool_event_ownershiptransferred
blockchain-etl,ethereum_yam,YAMLINKPool_event_RewardPaid,VIEW,NO,NO,2020-08-11 18:26:10.470000+00:00,yamlinkpool_event_rewardpaid
blockchain-etl,ethereum_yam,YAMCOMPPool_event_Staked,VIEW,NO,NO,2020-08-11 18:20:53.608000+00:00,yamcomppool_event_staked
blockchain-etl,ethereum_yam,YAMDelegate_v3_event_Transfer,VIEW,NO,NO,2020-10-04 13:04:36.371000+00:00,yamdelegate_v3_event_transfer
blockchain-etl,ethereum_yam,YAMDelegate_v3_event_NewGov,VIEW,NO,NO,2020-10-04 12:47:11.090000+00:00,yamdelegate_v3_event_newgov
blockchain-etl,ethereum_yam,YAMYFIPool_event_RewardPaid,VIEW,NO,NO,2020-08-11 18:47:08.866000+00:00,yamyfipool_event_rewardpaid
blockchain-etl,ethereum_yam,YAMMKRPool_event_RewardPaid,VIEW,NO,NO,2020-08-11 18:28:35.590000+00:00,yammkrpool_event_rewardpaid
blockchain-etl,ethereum_yam,YAMCOMPPool_event_Withdrawn,VIEW,NO,NO,2020-08-11 18:21:46.187000+00:00,yamcomppool_event_withdrawn
blockchain-etl,ethereum_yam,YAMAMPLPool_event_Withdrawn,VIEW,NO,NO,2020-08-11 18:20:55.341000+00:00,yamamplpool_event_withdrawn
