平台名,Pool Name,Pool Address,Stake Token,Stake Token Address,Earn Token1,Earn Token 1 Address,Third Part Token Address
B.protocol,BAMM,0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,LUSD,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,LQTY,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,
B.protocol,PBAMM,0x54bc9113f1f55cdbdf221daf798dc73614f6d972,LUSD,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,pLQTY,0x65b2532474f717d5a8ba38078b78106d56118bbb,
B.protocol,bBAT,0x7776a65d70465bd598ca7e177d7cb62025e5c448,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,,,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e
B.protocol,bComp,0x930f1d6616de5e5765919863d59354bb3332fb04,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,,,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4
B.protocol,bDAI,0x0b1b0aa805e48af767a6ec033984f9d7bffb56dd,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,,,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643
B.protocol,bLINK,0x9edf78ba1d0d6b30daeb0244bd59e287a631cea8,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,,,0xface851a4921ce59e912d19329929ce6da6eb0c7
B.protocol,bTUSD,0x1caae5929c2d33a6e2ba23d85fe3031954dbda70,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,,,0x12392f67bdf24fae0af363c24ac620a2f67dad86
B.protocol,bUNI,0x1e7c30d49de4df2ac86406783ed75b210a277aa9,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,,,0x35a18000230da775cac24873d00ff85bccded550
B.protocol,bUSDC,0xc33e1541dc8c9f4becb4517eb1acc5f8c67e766b,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,0x39aa39c021dfbae8fac545936693ac917d5e7563
B.protocol,bUSDT,0x4b17d8cab1090a90c5e46045e6facdb81ca9bd65,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,,,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9
B.protocol,bWBTC,0xb6473c402116422f62ff0ecc4b7e2b71911441ae,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,,,0xccf4429db6322d5c611ee964527d42e5d685dd6a
B.protocol,bZRX,0x8c4f8f1d867f77251c1a1d470930d5f8e310e8f1,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,,,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407
