Pool Name,Deposit Pool Address,Stake Token Contract Address,Withdraw Contract Address,Stake Token Address,Stake Token,Earn Token1,Earn Token 1 Address,Earn Token2,Earn Token 2 Address,Earn Token3,Earn Token 3 Address
cvxCRV/CRV,0x5f465e9fcffc217c5849906216581a657cd60605,0x5f465e9fcffc217c5849906216581a657cd60605,0x5f465e9fcffc217c5849906216581a657cd60605,0x33f6ddaea2a8a54062e021873bcaee006cdf4007,cvxCRV/CRV,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,,,
CVX/ETH,0x5F465e9fcfFc217c5849906216581a657cd60605,0x5f465e9fcffc217c5849906216581a657cd60605,0x5F465e9fcfFc217c5849906216581a657cd60605,0x05767d9ef41dc40689678ffca0608878fb3de906,CVX/ETH,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,,,
CVX,0xcf50b810e57ac33b91dcf525c6ddd9881b139332,0xcf50b810e57ac33b91dcf525c6ddd9881b139332,0xcf50b810e57ac33b91dcf525c6ddd9881b139332,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,cvxCRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,,,,
CRV,0x8014595f2ab54cd7c604b00e9fb932176fdc86ae,0x8014595f2ab54cd7c604b00e9fb932176fdc86ae,0x3fe65692bfcd0e6cf84cb1e7d24108e434a7587e,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,Curve.fi DAI/USDC/USDT,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490
Compound,0xf403c135812408bfbe8713b5a23a04b3d48aae31,0x989aeb4d175e16225e39e87d0d97a3360524ad80,0xf34dff761145ff0b05e917811d488b441f33a968,0x845838df265dcd2c412a1dc9e959c7d08537f8a2,Curve.fi cDAI/cUSDC,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,
USDT,0xf403c135812408bfbe8713b5a23a04b3d48aae31,0x989aeb4d175e16225e39e87d0d97a3360524ad80,0x8b55351ea358e5eda371575b031ee24f462d503e,0x9fc689ccada600b6df723d9e47d84d76664a1f23,Curve.fi cDAI/cUSDC/USDT,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,
Y,0xf403c135812408bfbe8713b5a23a04b3d48aae31,0x989aeb4d175e16225e39e87d0d97a3360524ad80,0xd802a8351a76ed5ecd89a7502ca615f2225a585d,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,
BUSD,0xf403c135812408bfbe8713b5a23a04b3d48aae31,0x989aeb4d175e16225e39e87d0d97a3360524ad80,0x602c4cd53a715d8a7cf648540fab0d3a2d546560,0x3b3ac5386837dc563660fb6a0937dfaa5924333b,Curve.fi yDAI/yUSDC/yUSDT/yBUSD,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,
sUSD,0xf403c135812408bfbe8713b5a23a04b3d48aae31,0x989aeb4d175e16225e39e87d0d97a3360524ad80,0x22ee18aca7f3ee920d01f25da85840d12d98e8ca,0xc25a3a3b969415c80451098fa907ec722572917f,Curve.fi DAI/USDC/USDT/sUSD,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
PAX,0xf403c135812408bfbe8713b5a23a04b3d48aae31,0x989aeb4d175e16225e39e87d0d97a3360524ad80,0xe3daafc8c14147d5b4a7a56f0bfded240158e51e,0xd905e2eaebe188fc92179b6350807d8bd91db0d8,Curve.fi DAI/USDC/USDT/PAX,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,
