address,name,description
0x1a122348b73b58ea39f822a89e6ec67950c2bbd0,Cream vVSP pool,Cream vVSP pool
0x4baa77013ccd6705ab0522853cb0e9d453579dd4,Cream yUSD,Cream yUSD
0x2db6c82ce72c8d7d770ba1b5f5ed0b6e075066d6,Cream Amp,Cream Amp
0x73f6cba38922960b7092175c0add22ab8d0e81fc,Cream SushiSwap LP Token WBTC-ETH,Cream SushiSwap LP Token WBTC-ETH
0x6ba0c66c48641e220cf78177c144323b3838d375,Cream SushiSwap LP Token SUSHI-ETH,Cream SushiSwap LP Token SUSHI-ETH
0x523effc8bfefc2948211a05a905f761cba5e8e9e,Cream Gnosis Token,Cream Gnosis Token
0x4ee15f44c6f0d8d1136c83efd2e8e4ac768954c6,Cream yyCRV,Cream yyCRV
0x3623387773010d9214b10c551d6e7fc375d31f58,Cream Meta,Cream Meta
0xce4fe9b4b8ff61949dcfeb7e03bc9faca59d2eb3,Cream Balancer,Cream Balancer
0xd06527d5e56a3495252a528c4987003b712860ee,Cream Ether,Cream Ether
0x903560b1cce601794c584f58898da8a8b789fc5d,Cream Keep3rV1,Cream Keep3rV1
0x8b86e0598616a8d4f1fdae8b59e55fb5bc33d0d6,Cream EthLend Token,Cream EthLend Token
0x697256caa3ccafd62bb6d3aa1c7c5671786a5fd9,Cream ChainLink Token,Cream ChainLink Token
0x1f9b4756b008106c806c7e64322d7ed3b72cb284,Cream yvCurve-stETH,Cream yvCurve-stETH
0x51f48b638f82e8765f7a26373a2cb4ccb10c07af,Cream Wrapped UST Token,Cream Wrapped UST Token
0xef58b2d5a1b8d3cde67b8ab054dc5c831e9bc025,Cream Serum,Cream Serum
0xeff039c3c1d668f408d09dd7b63008622a77532c,Cream Wrapped NXM,Cream Wrapped NXM
0x19d1666f543d42ef17f66e376944a22aea1a8e46,Cream Compound,Cream Compound
0x10a3da2bb0fae4d591476fd97d6636fd172923a8,Cream Hegic,Cream Hegic
0x892b14321a4fcba80669ae30bd0cd99a7ecf6ac0,Cream Cream,Cream Cream
0x01da76dea59703578040012357b81ffe62015c2d,Cream yETH,Cream yETH
0x4202d97e00b9189936edf37f8d01cff88bdd81d4,Cream yvWETH,Cream yvWETH
0x2a537fa9ffaea8c1a41d3c2b68a9cb791529366d,Cream DefiPulse Index,Cream DefiPulse Index
0x71cefcd324b732d4e058afacba040d908c441847,Cream VesperToken,Cream VesperToken
0x197070723ce0d3810a0e47f06e935c30a480d4fc,Cream Wrapped BTC,Cream Wrapped BTC
0x7ea9c63e216d5565c3940a2b3d150e59c2907db3,Cream Binance Wrapped BTC,Cream Binance Wrapped BTC
0x338286c0bc081891a4bda39c7667ae150bf5d206,Cream SushiToken,Cream SushiToken
0x10fdbd1e48ee2fd9336a482d746138ae19e649db,Cream FTX Token,Cream FTX Token
0x8b3ff1ed4f36c2c2be675afb13cc3aa5d73685a5,Cream Celsius,Cream Celsius
0xf55bbe0255f7f4e70f63837ff72a577fbddbe924,Cream BarnBridge Governance Token,Cream BarnBridge Governance Token
0x92b767185fb3b04f881e3ac8e5b0662a027a1d9f,Cream Dai Stablecoin,Cream Dai Stablecoin
0x17107f40d70f4470d20cb3f138a052cae8ebd4be,Cream renBTC,Cream renBTC
0xcd22c4110c12ac41acefa0091c432ef44efaafa0,Cream Uniswap V2 DAI-ETH,Cream Uniswap V2 DAI-ETH
0x4fe11bc316b6d7a345493127fbe298b95adaad85,Cream Uniswap V2 USDC-ETH,Cream Uniswap V2 USDC-ETH
0x22b243b96495c547598d9042b6f94b01c22b2e9e,Cream Swag Token,Cream Swag Token
0x1d0986fb43985c88ffa9ad959cc24e6a087c7e35,Cream AlphaToken,Cream AlphaToken
0x8379baa817c5c5ab929b03ee8e3c48e45018ae41,Cream THORChain ETH.RUNE,Cream THORChain ETH.RUNE
0xb092b4601850e23903a42eacbc9d8a0eec26a4d5,Cream Frax,Cream Frax
0xe6c3120f38f56deb38b69b65cc7dcaf916373963,Cream Uniswap V2 ETH-USDT,Cream Uniswap V2 ETH-USDT
0xab10586c918612ba440482db77549d26b7abf8f7,Cream Armor,Cream Armor
0x21011bc93d9e515b9511a817a1ed1d6d468f49fc,Cream Cover Protocol Governance Token,Cream Cover Protocol Governance Token
0x299e254a8a165bbeb76d9d69305013329eea3a3b,Cream Perpetual,Cream Perpetual
0xc7fd8dcee4697ceef5a2fd4608a7bd6a94c77480,Cream CRV,Cream CRV
0x228619cca194fbe3ebeb2f835ec1ea5080dafbb2,Cream SushiBar,Cream SushiBar
0xcbae0a83f4f9926997c8339545fb8ee32edc6b76,Cream YFI,Cream YFI
0x7aaa323d7e398be4128c7042d197a2545f0f1fea,Cream OMGToken,Cream OMGToken
0x1ff8cdb51219a8838b52e9cac09b71e591bc998e,Cream Binance USD,Cream Binance USD
0x38f27c03d6609a86ff7716ad03038881320be4ad,Cream SushiSwap LP Token DAI-ETH,Cream SushiSwap LP Token DAI-ETH
0xfd609a03b393f1a1cfcacedabf068cad09a924e2,Cream Cream ETH 2,Cream Cream ETH 2
0x7c3297cfb4c4bbd5f44b450c0872e0ada5203112,Cream Ocean Token,Cream Ocean Token
0x25555933a8246ab67cbf907ce3d1949884e82b55,Cream Synth sUSD,Cream Synth sUSD
0xdbb5e3081def4b6cdd8864ac2aeda4cbf778fecf,Cream Melon Token,Cream Melon Token
0x3c6c553a95910f9fc81c98784736bd628636d296,Cream Empty Set Dollar,Cream Empty Set Dollar
0x85759961b116f1d36fd697855c57a6ae40793d9b,Cream Empty Set Dollar,Cream Empty Set Dollar
0x1241b10e7ea55b22f5b2d007e8fecdf73dcff999,Cream Paxos Gold,Cream Paxos Gold
0xd692ac3245bb82319a31068d6b8412796ee85d2c,Cream HUSD,Cream HUSD
0xdfff11dfe6436e42a17b86e7f419ac8292990393,Cream Armor NXM,Cream Armor NXM
0x8b950f43fcac4931d408f1fcda55c6cb6cbf3096,Cream Badger Sett Badger,Cream Badger Sett Badger
0x054b7ed3f45714d3091e82aad64a1588dc4096ed,Cream Huobi BTC,Cream Huobi BTC
0x081fe64df6dc6fc70043aedf3713a3ce6f190a21,Cream Rarible,Cream Rarible
0xf7c5314806bb349744cf5e721f4d3395259b8531,Cream Curve Iron Bank Pool yVault,Cream Curve Iron Bank Pool yVault
0x250fb308199fe8c5220509c1bf83d21d60b7f74a,Cream Tokenlon,Cream Tokenlon
0xd5103afcd0b3fa865997ef2984c66742c51b2a8b,Cream Huobi FIL,Cream Huobi FIL
0x81e346729723c4d15d0fb1c5679b9f2926ff13c6,Cream Bancor Network Token,Cream Bancor Network Token
0xc68251421edda00a10815e273fa4b1191fac651b,Cream PickleToken,Cream PickleToken
0xd7394428536f63d5659cc869ef69d10f9e66314b,Cream Paxos Standard,Cream Paxos Standard
0x98e329eb5aae2125af273102f3440de19094b77c,Cream TrustSwap Token,Cream TrustSwap Token
0x5ecad8a75216cea7dff978525b2d523a251eea92,Cream SushiSwap LP Token USDC-ETH,Cream SushiSwap LP Token USDC-ETH
0x8c3b7a4320ba70f8239f83770c4015b5bc4e6f91,Cream Fei USD,Cream Fei USD
0xa87e8e61dfac8af5944d353cd26b96b20d5f4d01,Cream eCRV yVault,Cream eCRV yVault
0x1bcafa2c1b3a522e41baa60c2e318981ea8d1eb5,Cream steCRV yVault,Cream steCRV yVault
0xf8445c529d363ce114148662387eba5e62016e20,Cream Rai Reflex Index,Cream Rai Reflex Index
0x011a014d5e8eb4771e575bb1000318d509230afa,Cream Uniswap V2 WBTC-ETH,Cream Uniswap V2 WBTC-ETH
