address,name,description
0x3DA9D911301f8144bdF5c3c67886e5373DCdff8e,WETH,fWETH
0x6B671290B51446C4CD01a2731f72fdA1d180f270,PHTR-ETH,fSLP
0x6CE6b6c9BDa2348dea69D827314E2C1419843792,PHTR-FARM,fSLP
0x11301B7C82Cd953734440aaF0D5Dd0B36E2aB1d8,Uniswap V3: ETH-sETH2,fUniV3_WETH_sETH2
0x1997e59399bad38068b07D20d64bBdbC6882501b,Liquity: LQTY,fLQTY
0x34D358cd25e4BBdcf7D30887c55FE68E0F25dC65,Shapeshift: FOX-WETH,fUNI-V2
0xfbFBE380489882831DAD5258cFD2e29307E23B82,CRV:TriCrypto,fcrvTricrypto
0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50,iFARM,FARM
0x95D2e18C069175523F56B617F96be7575E381547,FARMStead USDC-24,fUSDC-24
0xb5f7FD6fC1A0F0B606D6F65F656af79e12c310b7,Uniswap V3: zUSD-ETH,fUniV3_zUSD_WETH
0xf9BcABd9886Ec2BA1467aCdeBE040077EE61bEe6,Uniswap V3: REI-ETH,fUniV3_REI_WETH
0xDdcaA7Df52674b7a64C37F6D347E4489a5593039,Uniswap V3: REI-WBTC,fUniV3_REI_WBTC
0xd127474B8F38561819A6CB3E38572A99050c1128,Balancer: BAL-WETH,fB-80BAL-20WETH
0x2bd2Ba6cCa8A9e1FfbCdFe9a3cCF7fB7d4F83EC4,Balancer: DAI-WETH,fB-60WETH-40DAI
0xA7336377C882F511b1DBFB4C8649117Edf593caB,Balancer: USDC-WETH,fB-50USDC-50WETH
0x5AAB6C393c641B1AB1f32E61F9A81640008C22b0,Balancer: USDT-WETH,fB-50WETH-50USDT
0x277C218336e0935B5e5cbDe90B96Da59ce34B2e4,Balancer: WBTC-WETH,fB-50WBTC-50WETH
0x8AB3342a692935a8ad23214d7403403D224d2ba4,Uniswap V3: USDC-ETH,fUniV3_USDC_WETH
0xd2d19439E84fcBaA7D4C755b3E15B1cB67CeA17B,Uniswap V3: ETH-USDT,fUniV3_WETH_USDT
0xBa20df1C78eD7CE835035e49Dc0389fF11224a76,Uniswap V3: DAI-ETH,fUniV3_DAI_WETH
0xA9e60dD0eF825A1009B37EDb75B312BdA5Ad1A51,Uniswap V3: DAI-ETH,fUniV3_DAI_WETH
0xDC1873C8E58e925D530b94FF14b0Aa4121b04d1F,Uniswap V3: BUSD-USDC,fUniV3_BUSD_USDC
0xAA6f97dFE0BA937E311D216972707fD886886e75,Uniswap V3: RENBTC-WBTC,fUniV3_WBTC_renBTC
0x611aC252ED4bF54b7980ff64bc94058F5Dcb5bB2,Uniswap V3: UST-USDT,fUniV3_UST_USDT
0xAe8d48De831a64787DDC3AC67Fd93Fd10b008606,Uniswap V3: USDC-USDT,fUniV3_USDC_USDT
0xd18F256b380b30d7Aa24c504b39f7320dF1b2dbE,Uniswap V3: WBTC-ETH,fUniV3_WBTC_WETH
0x174678B2632910e97BfDf284FA0583ba717b980F,Uniswap V3: DAI-USDC,fUniV3_DAI_USDC
0x2579687F556C963b607a8E44c1FbA0F363D2AA11,Uniswap V3: UNI-ETH,fUniV3_UNI_WETH
0xC02f8fE55Aa542038a619e17ED42002EB7A5D247,Uniswap V3: FCASH-USDC,fUniV3_fCASH_USDC
0x4F7c28cCb0F1Dbd1388209C67eEc234273C878Bd,USDC,fUSDC
0x15d3A64B2d5ab9E152F16593Cdebc4bB165B5B4A,DAI,fDAI
0x6ac4a7ab91e6fd098e13b7d347c6d4d1494994a2,USDT,fUSDT
0x15AEB9B209FEC67c672dBF5113827daB0b80f390,CRV:USDP,fusdp3CRV
0x01f9CAaD0f9255b0C0Aa2fBD1c1aA06ad8Af7254,CRV:HBTC,fhCRV
0x91B5cD52fDE8dbAC37C95ECafEF0a70bA4c182fC,CRV:OBTC,foBTC/sbtcCRV
0x017eC1772A45d2cf68c429A820eF374f0662C57c,CRV:TBTC,ftbtc/sbtcCrv
0xA3Cf8D1CEe996253FAD1F8e3d68BDCba7B3A3Db5,CRV:RENWBTC,fcrvRenWBTC
0x917d6480Ec60cBddd6CbD0C8EA317Bcc709EA77B,WBTC,fWBTC
0x2E25800957742C52b4d69b65F9C67aBc5ccbffe6,CRV:STETH,fsteCRV
0x079158BECA3c0ee6aE44B43357c6317E339DdC69,ETH-MVI,fUNI-V2
0x8e54bB5e1411Be9c776b17B0cD267F2955377E32,KXUSD-DAI,fUNI-V2
0x16fBb193f99827C92A4CC22EFe8eD7390465BFa3,ETH-SUSHI,fSLP
0x6Dc8Be78e95480e5566138429089D4ca589f5A34,ETH-PERP,fSLP
0x76Aef359a33C02338902aCA543f37de4b01BA1FA,ETH-DAI,fSLP
0x6B4e1E0656Dd38F36c318b077134487B9b0cf7a6,ETH-USDC,fSLP
0xA56522BCA0A09f57B85C52c0Cc8Ba1B5eDbc64ef,ETH-USDT,fSLP
0xE2D9FAe95f1e68afca7907dFb36143781f917194,ETH-WBTC,fSLP
0x59eeb34065dB1621c68d26f37ffEFf3A89E5FA8b,ETH-UST,fSLP
0xf550804Ebd6f89CdC9EC8E92CE8DE91A2F64a82E,SUSHI HODL,fSUSHI
0xF5833723b150929D1Fddf785ED9D92eEe722387d,ETH-DAI HODL,fSLP
0x378C314028071C92efE15d6990B6cf93594fCB9D,ETH-USDC HODL,fSLP
0x0c67FBa277A3FE1B0a792ef5bc798cBbDA15a7f5,ETH-USDT HODL,fSLP
0x08aA65118996eaa61372B65978Cfa684F2C749b2,ETH-WBTC HODL,fSLP
0xDa5E9706274D88bbf1bD1877a9b462fC40cDcfAd,ETH-DAI,f1LP-ETH-DAI
0x9a9A6148f7b0A9767AC1fdC67343D1e3E219FdDf,ETH-USDC,f1LP-ETH-USDC
0x2A80e0B572e7EF61Ef81EF05eC024e1e52Bd70BD,ETH-USDT,f1LP-ETH-USDT
0x747318Cf3171D4E2a1A52bBD3Fcc9f9c690448B4,ETH-WBTC,f1LP-ETH-WBTC
0x743BD82331CAe227Fa2c8c97f345A6846f8383b1,MUSE-ETH,fUNI-V2
0x3B808A7d8CCdF8893d1360ff421beF4440376842,DUDES20-ETH,fUNI-V2
0xC5fc56779b5925218D2Cdac093d0bFc6de7Cc2D1,MASK20-ETH,fUNI-V2
0xE7E1C3624188052a2367B63048a32A7429980113,MCAT20-ETH,fUNI-V2
0x72C50e6FD8cC5506E166c273b6E814342Aa0a3c1,CRV:HUSD,fhusd3CRV
0x6D1b6Ea108AA03c6993d8010690264BA96D349A8,YCRV,fyDAI+yUSDC+yUSDT+yTUSD
0x27F12d1a08454402175b9F0b53769783578Be7d9,3CRV,f3Crv
0xC0f51a979e762202e9BeF0f62b07F600d0697DE1,CRV:COMPOUND,fcDAI+cUSDC
0x093C2ae5E6F3D2A897459aa24551289D462449AD,CRV:BUSD,fyDAI+yUSDC+yUSDT+yBUSD
0xef4Da1CE3f487DA2Ed0BE23173F76274E0D47579,CRV:USDN,fusdn3CRV
0xf4d50f60D53a230abc8268c6697972CB255Cd940,CRV:EURS,feursCRV
0x538613A19Eb84D86a4CcfcB63548244A52Ab0B68,CRV:GUSD,fgusd3CRV
0xDdb5D3CCd968Df64Ce48b577776BdC29ebD3120e,CRV:UST,fust3CRV
0x269FA8c40062692CFD5494e5ec7daD64745b45af,MEME20-ETH,fUNI-V2
0x9b36b44C6E3BfB1aDfbe31BB7b8c4f9AF7A804Ee,GPUNKS20-ETH,fUNI-V2
0xc02d1Da469d68Adc651Dd135d1A7f6b42F4d1A57,MAAPL-UST,fUNI-V2
0x8Dc427Cbcc75cAe58dD4f386979Eba6662f5C158,MAMZN-UST,fUNI-V2
0xfE83a00DF3A98dE218c08719FAF7e3741b220D0D,MGOOGL-UST,fUNI-V2
0x40C34B0E1bb6984810E17474c6B0Bcc6A6B46614,MTSLA-UST,fUNI-V2
0x937D4b84f139bec548b825FdCE33B172C5Bf755a,MNFLX-UST,fUNI-V2
0x677AD66025063bE55B070685E618a84FF3dd62be,MTWTR-UST,fUNI-V2
0x9c6FbDBF59808CD920fDb166c25E2E9FcF708dD1,CRV:LINK,flinkCRV
0x797F1171DC5001B7A79ff7Dca68c9539329ccE48,DAI-BAC,fUNI-V2
0xf330891f02F8182D7D4e1A962ED0F3086D626020,DAI-BASv2,fUNI-V2
0x6555c79a8829b793F332f1535B0eFB1fE4C11958,FARM/ETH,UNI-V2
0xe58f0d2956628921cdEd2eA6B195Fc821c3a2b16,FARM/GRAIN,UNI-V2
