Pool Name,Pool Address,Stake Token,Stake Token Address,Earn Token1,Earn Token 1 Address,Earn Token2,Earn Token 2 Address,Earn Token3,Earn Token 3 Address
IdleDAI Best Yield,0x3fe7940616e5bc47b0775a0dccf6237893353bb4,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleUSDC Best Yield,0x5274891bec421b39d23760c04a6755ecb444797c,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleUSDT Best Yield,0xf34842d05a1c888ca02769a633df37177415c2f8,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleSUSD Best Yield,0xf52cdcd458bf455aed77751743180ec4a595fd3f,Synth sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleTUSD Best Yield,0xc278041fdd8249fe4c1aad1193876857eea3d68c,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleWBTC Best Yield,0x8c81121b15197fa0eeaee1dc75533419dcfd3151,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleWETH Best Yield,0xc8e6ca6e96a326dc448307a5fde90a0b21fd7f80,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleRAI Best Yield,0x5c960a3dcc01be8a0f49c02a8cebcacf5d07fabe,RAI,0xf30547ff2df1f1cbe5c8dd758b3dd098c856e38f,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleDAI Risk Adjusted,0xa14ea0e11121e6e951e87c66afe460a00bcd6a16,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleUSDC Risk Adjusted,0x3391bc034f2935ef0e1e41619445f998b2680d35,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
IdleUSDT Risk Adjusted,0x28fac5334c9f7262b3a3fe707e250e01053e07b5,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
