pool_address,pool_name,pool_symbol,token_symbol,token_address,decimals
0xbd17b1ce622d73bd438b9e658aca5996dc394b0d,pickling SushiSwap LP Token,pSLP,pSLP,0x5eff6d166d66bacbc1bf52e2c54dd391ae6b1f48,18
0xc5bddf9843308380375a611c18b50fb9341f502a,yveCRV,yveCRV-DAO,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,18
0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,USDC,yUSDC,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,curve.fi/y,yyDAI+yUSDC+yUSDT+yTUSD,yDAI+yUSDC+yUSDT+yTUSD,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,18
0x37d19d1c4e1fa9dc47bd1ea12f742a0887eda74a,TUSD,yTUSD,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18
0xacd43e627e64355f1861cec6d3a6688b31a6f952,DAI,yDAI,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
0x2f08119c6f07c006695e079aafc638b8789faf18,USDT,yUSDT,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,YFI,yYFI,YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18
0x2994529c0652d127b7842094103715ec5299bbed,curve.fi/busd,yyDAI+yUSDC+yUSDT+yBUSD,yDAI+yUSDC+yUSDT+yBUSD,0x3b3ac5386837dc563660fb6a0937dfaa5924333b,18
0x7ff566e1d69deff32a7b244ae7276b9f90e9d0f6,curve.fi/sbtc,ycrvRenWSBTC,crvRenWSBTC,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,18
0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,WETH,yWETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,WETH,yWETH,eth,eth,18
0x9ca85572e6a3ebf24dedd195623f188735a5179f,curve.fi/3pool,y3Crv,3Crv,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,18
0xec0d8d3ed5477106c6d4ea27d90a60e594693c90,GUSD,yGUSD,GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2
0x629c759d1e83efbf63d84eb3868b564d9521c129,curve.fi/compound,yvcDAI+cUSDC,cDAI+cUSDC,0x845838df265dcd2c412a1dc9e959c7d08537f8a2,18
0x0fcdaedfb8a7dfda2e9838564c5a1665d856afdf,curve.fi/musd,yvmusd3CRV,musd3CRV,0x1aef73d49dedc4b1778d0706583995958dc862e6,18
