address,name,description
0xbd17b1ce622d73bd438b9e658aca5996dc394b0d,pickling SushiSwap LP Token,pSLP
0xc5bddf9843308380375a611c18b50fb9341f502a,yveCRV,yveCRV-DAO
0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,USDC,yUSDC
0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,curve.fi/y,yyDAI+yUSDC+yUSDT+yTUSD
0x37d19d1c4e1fa9dc47bd1ea12f742a0887eda74a,TUSD,yTUSD
0xacd43e627e64355f1861cec6d3a6688b31a6f952,DAI,yDAI
0x2f08119c6f07c006695e079aafc638b8789faf18,USDT,yUSDT
0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,YFI,yYFI
0x2994529c0652d127b7842094103715ec5299bbed,curve.fi/busd,yyDAI+yUSDC+yUSDT+yBUSD
0x7ff566e1d69deff32a7b244ae7276b9f90e9d0f6,curve.fi/sbtc,ycrvRenWSBTC
0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,WETH,yWETH
0x9ca85572e6a3ebf24dedd195623f188735a5179f,curve.fi/3pool,y3Crv
0xec0d8d3ed5477106c6d4ea27d90a60e594693c90,GUSD,yGUSD
0x629c759d1e83efbf63d84eb3868b564d9521c129,curve.fi/compound,yvcDAI+cUSDC
0x0fcdaedfb8a7dfda2e9838564c5a1665d856afdf,curve.fi/musd,yvmusd3CRV
0xcc7e70a958917cce67b4b87a8c30e6297451ae98,curve.fi/gusd,yvgusd3CRV
0x98b058b2cbacf5e99bc7012df757ea7cfebd35bc,curve.fi/eurs,yveursCRV
0xe0db48b4f71752c4bef16de1dbd042b82976b8c7,mUSD,yvmUSD
0x5334e150b938dd2b6bd040d9c4a03cff0ced3765,curve.fi/renbtc,yvcrvRenWBTC
0xfe39ce91437c76178665d64d7a2694b0f6f17fe3,curve.fi/usdn,yvusdn3CRV
0xf6c9e9af314982a4b38366f4abfaa00595c5a6fc,curve.fi/ust,yvust3CRV
0xa8b1cb4ed612ee179bdea16cca6ba596321ae52d,curve.fi/bbtc,yvbBTC/sbtcCRV
0x07fb4756f67bd46b748b16119e802f1f880fb2cc,curve.fi/tbtc,yvtbtc/sbtcCrv
0x7f83935ecfe4729c4ea592ab2bc1a32588409797,curve.fi/obtc,yvoBTC/sbtcCRV
0x123964ebe096a920dae00fb795ffbfa0c9ff4675,curve.fi/pbtc,yvpBTC/sbtcCRV
0x46afc2dfbd1ea0c0760cad8262a5838e803a37e5,curve.fi/hbtc,yvhCRV
0x5533ed0a3b83f70c3c4a1f69ef5546d3d4713e44,curve.fi/susd,yvcrvPlain3andSUSD
0x39546945695dcb1c037c836925b355262f551f55,curve.fi/husd,yvhusd3CRV
0x8e6741b456a074f0bc45b8b82a755d4af7e965df,curve.fi/dusd,yvdusd3CRV
0x03403154afc09ce8e44c3b185c82c6ad5f86b9ab,curve.fi/aave,yva3CRV
0xe625f5923303f1ce7a43acfefd11fd12f30dbca4,curve.fi/ankreth,yvankrCRV
0xbacb69571323575c6a5a3b4f9eede1dc7d31fbc1,curve.fi/saave,yvsaCRV
